number_of_trees,mtry,min_observations,terminal_nodes,rmse
10,5,15,15,977.0874045418091
10,6,1,1,1476.9951565700405
10,6,1,2,977.0922478722316
10,6,1,5,787.6043242029457
10,6,1,10,773.7816103003587
10,6,1,15,772.5716002373717
10,6,2,1,1481.9070750256062
10,6,2,2,985.1480989939315
10,6,2,5,777.7148170261543
10,6,2,10,772.6115824094932
10,6,2,15,770.9152497427976
10,6,5,1,1478.0745784549033
10,6,5,2,971.4402158490732
10,6,5,5,772.2610320702508
10,6,5,10,783.7356906271617
10,6,5,15,778.39925416930555
10,6,10,1,1478.40365696606
10,6,10,2,977.5181622748141
10,6,10,5,885.3556472668514
10,6,10,10,898.672158385009
10,6,10,15,912.7386453510363
10,6,15,1,1465.0957217527903
10,6,15,2,990.3274148064135
10,6,15,5,974.2908370084432
10,6,15,10,975.217409866888
10,6,15,15,985.4722346431337
10,7,1,1,1487.5041634618635
10,7,1,2,990.0264105858344
10,7,1,5,779.6510580914724
10,7,1,10,762.347014728934
10,7,1,15,760.3563927545205
10,7,2,1,1482.5204491512927
10,7,2,2,992.6809880311041
10,7,2,5,778.3975661181003
10,7,2,10,764.1102863498461
10,7,2,15,758.4005301289242
10,7,5,1,1477.1598024423106
10,7,5,2,981.8124252761302
10,7,5,5,776.3188787191456
10,7,5,10,784.5097491202991
10,7,5,15,784.6933013831249
10,7,10,1,1469.2252702850885
10,7,10,2,981.0535052948277
10,7,10,5,934.4051118698103
10,7,10,10,922.1865661955723
10,7,10,15,917.0316187319531
10,7,15,1,1478.161828964857
10,7,15,2,989.3849850860911
10,7,15,5,965.2478885991761
10,7,15,10,980.0635705382798
10,7,15,15,981.1056632616192
10,8,1,1,1475.766695869394
10,8,1,2,1001.2342485629944
10,8,1,5,771.7400820906836
10,8,1,10,768.2367410678987
10,8,1,15,777.6956820145011
10,8,2,1,1476.3667418981797
10,8,2,2,994.446649533872
10,8,2,5,782.8091901701255
10,8,2,10,769.1831392163252
10,8,2,15,767.5751359280731
10,8,5,1,1482.3413053286365
10,8,5,2,977.3290099670326
10,8,5,5,779.0261115675239
10,8,5,10,784.5371821292175
10,8,5,15,774.6401658346838
10,8,10,1,1469.785367072572
10,8,10,2,973.4335092487738
10,8,10,5,917.273282010371
10,8,10,10,904.231267410594
10,8,10,15,904.2400421488272
10,8,15,1,1480.0305709292395
10,8,15,2,972.0624076792755
10,8,15,5,975.4632619160294
10,8,15,10,990.7706613715646
10,8,15,15,997.0141095572071
10,9,1,1,1478.5733789079138
10,9,1,2,989.5674805310671
10,9,1,5,779.3997743337425
10,9,1,10,769.4738127487657
10,9,1,15,776.0226305755092
10,9,2,1,1483.1235050456457
10,9,2,2,972.7178199855402
10,9,2,5,788.5594523477693
10,9,2,10,762.5139628560091
10,9,2,15,768.9311911712257
10,9,5,1,1478.8052159086412
10,9,5,2,982.8716844273049
10,9,5,5,793.0135425672315
10,9,5,10,777.7739935486388
10,9,5,15,773.2492564308375
10,9,10,1,1479.6577180340098
10,9,10,2,989.3820385314668
10,9,10,5,897.1988683798554
10,9,10,10,902.8056849465261
10,9,10,15,917.3315020339217
10,9,15,1,1487.6921130087162
10,9,15,2,970.1913355136911
10,9,15,5,983.0924368877993
10,9,15,10,980.0749664976754
10,9,15,15,965.7021152489339
10,10,1,1,1488.1280403997816
10,10,1,2,975.7496189157627
10,10,1,5,783.7233558181832
10,10,1,10,770.0704577870412
10,10,1,15,766.114786895976
10,10,2,1,1483.333281482245
10,10,2,2,991.8177268250935
10,10,2,5,779.5598257700509
10,10,2,10,763.869776977162
10,10,2,15,772.357566588494
10,10,5,1,1486.7169051796657
10,10,5,2,983.0781926864985
10,10,5,5,778.5913189487626
10,10,5,10,777.6510296734084
10,10,5,15,776.5078443853181
10,10,10,1,1484.2857115384563
10,10,10,2,976.4141338701261
10,10,10,5,900.1829882650006
10,10,10,10,915.3351133027711
10,10,10,15,911.3850777737466
10,10,15,1,1487.740442187048
10,10,15,2,988.1930597524045
10,10,15,5,978.4594067537067
10,10,15,10,972.8953501659853
10,10,15,15,985.6895836616147
10,11,1,1,1474.9757454961525
10,11,1,2,976.3584198075085
10,11,1,5,781.0459609218924
10,11,1,10,770.7630281807726
10,11,1,15,773.1060590074301
10,11,2,1,1482.2893054101594
10,11,2,2,990.5804701888558
10,11,2,5,792.8949411578201
10,11,2,10,771.4868043570305
10,11,2,15,767.328368754212
10,11,5,1,1483.7383139937344
10,11,5,2,985.8914310919382
10,11,5,5,780.8053727219019
10,11,5,10,784.392068109975
10,11,5,15,782.2639476103931
10,11,10,1,1481.299378861914
10,11,10,2,981.780269235344
10,11,10,5,913.9501773788611
10,11,10,10,905.4460423859298
10,11,10,15,916.8417677183943
10,11,15,1,1486.0576254845562
10,11,15,2,994.6207991127594
10,11,15,5,974.6377081120719
10,11,15,10,994.5978838856936
10,11,15,15,983.254397069885
10,12,1,1,1491.8595034792017
10,12,1,2,983.7988128018138
10,12,1,5,783.2280169377823
10,12,1,10,762.8253685550632
10,12,1,15,774.6487074495983
