number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,rmse
50,50,50,0.03,20,10,692.8345047
50,50,50,0.03,100,2,700.2567506
50,50,50,0.03,100,3,595.9593079
50,50,50,0.03,100,5,590.6458847
50,50,50,0.03,100,8,651.648201
50,50,50,0.03,100,10,655.9565582
50,50,50,0.05,1,2,551.1938601
50,50,50,0.05,1,3,440.4609818
50,50,50,0.05,1,5,438.8647675
50,45,45,0.05,1,8,474.13028790000004
50,50,50,0.05,1,10,536.0044679
50,50,50,0.05,5,2,503.8805454
50,50,50,0.05,5,3,436.5567811
50,50,50,0.05,5,5,499.8688805
50,50,50,0.05,5,8,485.0901626
50,48,48,0.05,5,10,493.41285239999996
50,50,50,0.05,20,2,509.3403473
50,50,50,0.05,20,3,497.0854111
50,50,50,0.05,20,5,476.71613080000003
50,50,50,0.05,20,8,622.4354278
50,50,50,0.05,20,10,551.025612
50,50,50,0.05,100,2,468.4968937
50,50,50,0.05,100,3,427.9071562
50,50,50,0.05,100,5,497.58143689999997
50,50,50,0.05,100,8,459.9849854
50,50,50,0.05,100,10,536.9609832
50,27,27,0.1,1,2,481.6486084
50,38,38,0.1,1,3,539.3911423
50,24,24,0.1,1,5,530.2536521
50,37,37,0.1,1,8,439.796585
50,50,50,0.1,1,10,533.3489151
50,31,31,0.1,5,2,442.91368389999997
50,45,45,0.1,5,3,439.3424605
50,49,49,0.1,5,5,475.6929368
50,42,42,0.1,5,8,488.0111938
50,37,37,0.1,5,10,512.2894819
50,50,50,0.1,20,2,499.95123440000003
50,27,27,0.1,20,3,541.2316208
50,28,28,0.1,20,5,515.3517059
50,36,36,0.1,20,8,432.5851258
50,42,42,0.1,20,10,497.5113449
50,29,29,0.1,100,2,475.8329933
50,30,30,0.1,100,3,515.6213196
50,50,50,0.1,100,5,465.8295208
50,28,28,0.1,100,8,474.1785781
50,42,42,0.1,100,10,526.4669251
100,100,100,0.001,1,2,1545.8293273
100,100,100,0.001,1,3,1411.0457761
100,100,100,0.001,1,5,1434.0225539
100,100,100,0.001,1,8,1452.2702392
100,100,100,0.001,1,10,1374.9435136
100,100,100,0.001,5,2,1473.0527663999999
100,100,100,0.001,5,3,1501.0789613
100,100,100,0.001,5,5,1485.2169615999999
100,100,100,0.001,5,8,1457.3535844
100,100,100,0.001,5,10,1620.0472412
100,100,100,0.001,20,2,1537.5456787
100,100,100,0.001,20,3,1512.4896545
100,100,100,0.001,20,5,1515.6176758
100,100,100,0.001,20,8,1404.6530212
100,100,100,0.001,20,10,1522.3101561
100,100,100,0.001,100,2,1588.7410948
100,100,100,0.001,100,3,1528.317517
100,100,100,0.001,100,5,1506.2558471
100,100,100,0.001,100,8,1509.7352736999999
100,100,100,0.001,100,10,1445.3012022
100,100,100,0.003,1,2,1233.3641663
100,100,100,0.003,1,3,1255.1795104999999
100,100,100,0.003,1,5,1312.8039918
100,100,100,0.003,1,8,1239.3609253
100,100,100,0.003,1,10,1287.7930602000001
100,100,100,0.003,5,2,1151.5221861
100,100,100,0.003,5,3,1264.1044678
100,100,100,0.003,5,5,1259.2174744000001
100,100,100,0.003,5,8,1283.2981995
100,100,100,0.003,5,10,1311.3429991
100,100,100,0.003,20,2,1243.152167
100,100,100,0.003,20,3,1182.0287019
100,100,100,0.003,20,5,1334.6202333
100,100,100,0.003,20,8,1176.1308258
100,100,100,0.003,20,10,1174.1473022
100,100,100,0.003,100,2,1280.2514221
100,100,100,0.003,100,3,1212.8179962
100,100,100,0.003,100,5,1232.2343231
100,100,100,0.003,100,8,1254.3502441
100,100,100,0.003,100,10,1283.9998321
100,100,100,0.005,1,2,1024.7580505
100,100,100,0.005,1,3,1052.8180297
100,100,100,0.005,1,5,1177.8572755
100,100,100,0.005,1,8,1131.7208773
100,100,100,0.005,1,10,1072.6427827
100,100,100,0.005,5,2,1160.6509919
